model,feature,importance,anomesdia_datetime
DecisionTrees,Total_Trans_Ct,0.3190437646814,2020-12-25 21:07:24.305733
DecisionTrees,Total_Trans_Amt,0.2060981281615477,2020-12-25 21:07:24.305733
DecisionTrees,Total_Revolving_Bal,0.16427711071746465,2020-12-25 21:07:24.305733
DecisionTrees,Total_Relationship_Count,0.0752112937265174,2020-12-25 21:07:24.305733
DecisionTrees,Total_Amt_Chng_Q4_Q1,0.06995085784879093,2020-12-25 21:07:24.305733
DecisionTrees,Total_Ct_Chng_Q4_Q1,0.05721393527443528,2020-12-25 21:07:24.305733
DecisionTrees,Customer_Age,0.018621842151367012,2020-12-25 21:07:24.305733
DecisionTrees,Credit_Limit,0.012601336426384412,2020-12-25 21:07:24.305733
DecisionTrees,Months_on_book,0.011036921837793,2020-12-25 21:07:24.305733
DecisionTrees,Avg_Utilization_Ratio,0.00980975368013367,2020-12-25 21:07:24.305733
DecisionTrees,Avg_Open_To_Buy,0.007821144769500125,2020-12-25 21:07:24.305733
DecisionTrees,Months_Inactive_12_mon,0.0071750321100730804,2020-12-25 21:07:24.305733
DecisionTrees,Contacts_Count_12_mon,0.0070809866754085226,2020-12-25 21:07:24.305733
DecisionTrees,Dependent_count,0.006228026945731152,2020-12-25 21:07:24.305733
DecisionTrees,Gender_M,0.005888012075974855,2020-12-25 21:07:24.305733
DecisionTrees,Marital_Status_Married,0.0049762864663349055,2020-12-25 21:07:24.305733
DecisionTrees,Education_Level_College,0.002605450692197952,2020-12-25 21:07:24.305733
DecisionTrees,Marital_Status_Divorced,0.0024037315770926316,2020-12-25 21:07:24.305733
DecisionTrees,Income_Category_Less than $40K,0.0021790378560367215,2020-12-25 21:07:24.305733
DecisionTrees,Income_Category_$80K - $120K,0.0021243917962769174,2020-12-25 21:07:24.305733
DecisionTrees,Income_Category_$120K +,0.0016304221258707586,2020-12-25 21:07:24.305733
DecisionTrees,Education_Level_Unknown,0.001196313034102136,2020-12-25 21:07:24.305733
DecisionTrees,Income_Category_$40K - $60K,0.0009724879430735103,2020-12-25 21:07:24.305733
DecisionTrees,Education_Level_Graduate,0.0008373949309914289,2020-12-25 21:07:24.305733
DecisionTrees,Gender_F,0.0007840074616086156,2020-12-25 21:07:24.305733
DecisionTrees,Education_Level_Post-Graduate,0.0007788472389810785,2020-12-25 21:07:24.305733
DecisionTrees,Income_Category_$60K - $80K,0.0005914998090664115,2020-12-25 21:07:24.305733
DecisionTrees,Education_Level_Uneducated,0.0004465049080398337,2020-12-25 21:07:24.305733
DecisionTrees,Education_Level_High School,0.0004154770778053461,2020-12-25 21:07:24.305733
DecisionTrees,Marital_Status_Single,0.0,2020-12-25 21:07:24.305733
DecisionTrees,Marital_Status_Unknown,0.0,2020-12-25 21:07:24.305733
DecisionTrees,Education_Level_Doctorate,0.0,2020-12-25 21:07:24.305733
DecisionTrees,Income_Category_Unknown,0.0,2020-12-25 21:07:24.305733
DecisionTrees,Card_Category_Blue,0.0,2020-12-25 21:07:24.305733
DecisionTrees,Card_Category_Gold,0.0,2020-12-25 21:07:24.305733
DecisionTrees,Card_Category_Platinum,0.0,2020-12-25 21:07:24.305733
DecisionTrees,Card_Category_Silver,0.0,2020-12-25 21:07:24.305733
RandomForest,Total_Trans_Amt,0.21201356969811955,2020-12-25 21:07:24.329094
RandomForest,Total_Trans_Ct,0.19718955620962972,2020-12-25 21:07:24.329094
RandomForest,Total_Revolving_Bal,0.11074105061925318,2020-12-25 21:07:24.329094
RandomForest,Total_Ct_Chng_Q4_Q1,0.09593497303858499,2020-12-25 21:07:24.329094
RandomForest,Total_Amt_Chng_Q4_Q1,0.06171142672287074,2020-12-25 21:07:24.329094
RandomForest,Avg_Utilization_Ratio,0.05300365584328192,2020-12-25 21:07:24.329094
RandomForest,Total_Relationship_Count,0.04683974929137336,2020-12-25 21:07:24.329094
RandomForest,Months_Inactive_12_mon,0.028590482598209108,2020-12-25 21:07:24.329094
RandomForest,Credit_Limit,0.0285340833334577,2020-12-25 21:07:24.329094
RandomForest,Avg_Open_To_Buy,0.028384719838985578,2020-12-25 21:07:24.329094
RandomForest,Customer_Age,0.027387679967131134,2020-12-25 21:07:24.329094
RandomForest,Contacts_Count_12_mon,0.025240577718442594,2020-12-25 21:07:24.329094
RandomForest,Months_on_book,0.02133457179898349,2020-12-25 21:07:24.329094
RandomForest,Dependent_count,0.010733987562654706,2020-12-25 21:07:24.329094
RandomForest,Gender_M,0.005846283441074977,2020-12-25 21:07:24.329094
RandomForest,Gender_F,0.00565298655893572,2020-12-25 21:07:24.329094
RandomForest,Marital_Status_Married,0.004199380529271546,2020-12-25 21:07:24.329094
RandomForest,Marital_Status_Single,0.003447638633866808,2020-12-25 21:07:24.329094
RandomForest,Education_Level_Graduate,0.0028770935698148145,2020-12-25 21:07:24.329094
RandomForest,Education_Level_High School,0.002615868688856114,2020-12-25 21:07:24.329094
RandomForest,Income_Category_Less than $40K,0.0024989139500475287,2020-12-25 21:07:24.329094
RandomForest,Education_Level_Unknown,0.0024079233931119867,2020-12-25 21:07:24.329094
RandomForest,Income_Category_$80K - $120K,0.0022401746967870054,2020-12-25 21:07:24.329094
RandomForest,Income_Category_$60K - $80K,0.00222913863563426,2020-12-25 21:07:24.329094
RandomForest,Education_Level_Uneducated,0.0021463981693003965,2020-12-25 21:07:24.329094
RandomForest,Education_Level_College,0.0020975068805976402,2020-12-25 21:07:24.329094
RandomForest,Income_Category_$40K - $60K,0.0019882617008407126,2020-12-25 21:07:24.329094
RandomForest,Education_Level_Post-Graduate,0.0016307178541907698,2020-12-25 21:07:24.329094
RandomForest,Education_Level_Doctorate,0.0015713384990078412,2020-12-25 21:07:24.329094
RandomForest,Income_Category_Unknown,0.0015196681849692594,2020-12-25 21:07:24.329094
RandomForest,Marital_Status_Divorced,0.001489039782345376,2020-12-25 21:07:24.329094
RandomForest,Marital_Status_Unknown,0.0013966558579146394,2020-12-25 21:07:24.329094
RandomForest,Card_Category_Blue,0.0013828203145045273,2020-12-25 21:07:24.329094
RandomForest,Income_Category_$120K +,0.0013057692660862037,2020-12-25 21:07:24.329094
RandomForest,Card_Category_Silver,0.001142884897530415,2020-12-25 21:07:24.329094
RandomForest,Card_Category_Gold,0.0004732433201841554,2020-12-25 21:07:24.329094
RandomForest,Card_Category_Platinum,0.00020020893414956714,2020-12-25 21:07:24.329094
