iter	Passed	Remaining
0	3	3781
1	9	4767
2	13	4446
3	16	4181
4	20	3991
5	24	4114
6	29	4119
7	32	4029
8	35	3950
9	40	4040
10	44	4022
11	46	3838
12	50	3843
13	57	4031
14	60	3999
15	64	3958
16	67	3918
17	74	4065
18	78	4028
19	81	3983
20	88	4133
21	92	4126
22	96	4092
23	100	4070
24	104	4089
25	108	4063
26	111	4035
27	115	4002
28	121	4082
29	126	4078
30	129	4045
31	132	4020
32	138	4052
33	141	4027
34	145	4001
35	150	4016
36	155	4036
37	158	4011
38	161	3986
39	167	4030
40	171	4005
41	174	3982
42	177	3960
43	182	3963
44	186	3962
45	190	3942
46	193	3922
47	199	3960
48	203	3944
49	206	3925
50	210	3914
51	216	3948
52	219	3927
53	223	3909
54	226	3891
55	232	3919
56	236	3905
57	239	3890
58	242	3875
59	248	3892
60	251	3877
61	255	3866
62	259	3859
63	265	3883
64	268	3868
65	272	3856
66	277	3870
67	283	3881
68	286	3868
69	290	3853
70	296	3883
71	300	3867
72	303	3854
73	308	3854
74	313	3861
75	316	3850
76	320	3837
77	324	3835
78	329	3837
79	332	3823
80	335	3811
81	340	3815
82	345	3815
83	348	3804
84	352	3797
85	358	3811
86	362	3803
87	365	3792
88	370	3791
89	376	3804
90	379	3793
91	383	3781
92	388	3790
93	392	3785
94	396	3772
95	399	3764
96	404	3766
97	409	3765
98	412	3753
99	415	3743
100	420	3743
101	425	3747
102	428	3735
103	432	3723
104	438	3734
105	442	3728
106	445	3718
107	448	3708
108	456	3728
109	460	3727
110	470	3768
111	474	3766
112	480	3769
113	487	3785
114	490	3775
115	494	3765
116	497	3754
117	502	3759
118	506	3750
119	510	3740
120	523	3799
121	527	3795
122	534	3808
123	537	3798
124	541	3787
125	544	3776
126	549	3774
127	553	3769
128	557	3763
129	561	3754
130	567	3766
131	571	3755
132	574	3745
133	580	3754
134	582	3735
135	586	3724
136	589	3714
137	592	3703
138	599	3713
139	602	3703
140	606	3693
141	611	3696
142	615	3688
143	619	3682
144	622	3672
145	629	3680
146	632	3671
147	636	3663
148	639	3655
149	646	3661
150	649	3651
151	652	3642
152	656	3634
153	661	3635
154	665	3626
155	668	3619
156	675	3625
157	679	3620
158	682	3612
159	686	3603
160	691	3601
161	695	3597
162	699	3590
163	702	3582
164	709	3592
165	713	3586
166	717	3577
167	722	3579
168	727	3575
169	730	3567
170	734	3559
171	740	3565
172	744	3556
173	747	3548
174	750	3539
175	756	3543
176	760	3535
177	763	3526
178	766	3517
179	773	3523
180	776	3515
181	780	3506
182	788	3519
183	791	3511
184	795	3503
185	798	3496
186	805	3500
187	809	3494
188	812	3486
189	817	3485
190	821	3480
191	825	3473
192	828	3464
193	833	3463
194	837	3458
195	841	3450
196	844	3441
197	850	3446
198	854	3438
199	857	3429
200	862	3428
201	868	3431
202	872	3423
203	876	3418
204	882	3421
205	885	3414
206	887	3400
207	890	3392
208	902	3414
209	907	3413
210	913	3415
211	922	3428
212	933	3447
213	935	3437
214	943	3446
215	950	3451
216	955	3448
217	963	3455
218	968	3452
219	973	3449
220	979	3452
221	985	3455
222	995	3467
223	1000	3464
224	1012	3487
225	1017	3484
226	1029	3505
227	1034	3502
228	1046	3524
229	1053	3526
230	1060	3531
231	1064	3523
232	1067	3515
233	1073	3515
234	1077	3507
235	1080	3499
236	1084	3491
237	1091	3494
238	1094	3485
239	1098	3478
240	1102	3473
241	1107	3469
242	1111	3461
243	1113	3448
244	1116	3439
245	1122	3440
246	1125	3432
247	1129	3425
248	1133	3418
249	1139	3417
250	1142	3409
251	1146	3401
252	1151	3400
253	1155	3394
254	1159	3387
255	1162	3378
256	1167	3374
257	1171	3367
258	1175	3361
259	1178	3355
260	1183	3352
261	1187	3345
262	1190	3337
263	1194	3330
264	1201	3331
265	1205	3325
266	1208	3318
267	1212	3310
268	1219	3312
269	1222	3305
270	1225	3297
271	1232	3297
272	1235	3290
273	1238	3282
274	1242	3275
275	1248	3275
276	1252	3268
277	1257	3266
278	1261	3260
279	1266	3257
280	1270	3249
281	1273	3242
282	1278	3239
283	1282	3233
284	1286	3226
285	1290	3222
286	1298	3226
287	1303	3222
288	1312	3229
289	1316	3222
290	1319	3214
291	1322	3207
292	1329	3207
293	1332	3200
294	1336	3193
295	1341	3190
296	1345	3185
297	1349	3178
298	1352	3171
299	1358	3169
300	1362	3163
301	1365	3156
302	1369	3150
303	1376	3150
304	1379	3143
305	1383	3136
306	1386	3129
307	1391	3126
308	1395	3119
309	1398	3112
310	1402	3106
311	1407	3102
312	1410	3096
313	1414	3089
314	1417	3082
315	1423	3080
316	1426	3073
317	1429	3066
318	1433	3059
319	1438	3056
